path	transcription
imgs/1940/AL/d0/m-t0627-00030-00652_occ_row_20.jpg	pit worker
imgs/1940/AL/d1/m-t0627-00085-00477_occ_row_34.jpg	instructor
imgs/1940/AL/d10/m-t0627-00018-00599_occ_row_6.jpg	surgeon
imgs/1940/AL/d10/m-t0627-00077-00682_occ_row_4.jpg	edger
imgs/1940/AL/d101/m-t0627-00063-00824_occ_row_27.jpg	salesgirl
imgs/1940/AL/d102/m-t0627-00010-00398_occ_row_33.jpg	weaver
imgs/1940/AL/d102/m-t0627-00085-00693_occ_row_4.jpg	saleswomen
imgs/1940/AL/d102/m-t0627-00092-00432_occ_row_23.jpg	shipper
imgs/1940/AL/d103/m-t0627-00022-00143_occ_row_20.jpg	deliverymanssss
imgs/1940/AL/d103/m-t0627-00025-00761_occ_row_33.jpg	hair dresser
imgs/1940/AL/d103/m-t0627-00064-00624_occ_row_33.jpg	handyman
imgs/1940/AL/d103/m-t0627-00064-00624_occ_row_39.jpg	instructor
imgs/1940/AL/d103/m-t0627-00092-00113_occ_row_26.jpg	tinner
imgs/1940/AL/d103/m-t0627-00092-00867_occ_row_10.jpg	repairman
imgs/1940/AL/d105/m-t0627-00082-00254_occ_row_8.jpg	dress maker
imgs/1940/AL/d106/m-t0627-00007-00412_occ_row_19.jpg	insurance
imgs/1940/AL/d106/m-t0627-00007-00412_occ_row_3.jpg	cresler
imgs/1940/AL/d106/m-t0627-00038-00129_occ_row_38.jpg	sales women
imgs/1940/AL/d107/m-t0627-00097-00835_occ_row_13.jpg	hair dresser
imgs/1940/AL/d108/m-t0627-00057-00876_occ_row_29.jpg	cresler
imgs/1940/AL/d108/m-t0627-00092-00772_occ_row_17.jpg	bricklayer
imgs/1940/AL/d109/m-t0627-00065-00478_occ_row_15.jpg	schoolteacher
imgs/1940/AL/d109/m-t0627-00065-00478_occ_row_8.jpg	bricklayer
imgs/1940/AL/d11/m-t0627-00070-00549_occ_row_23.jpg	housewife
imgs/1940/AL/d11/m-t0627-00092-00445_occ_row_22.jpg	dietician
imgs/1940/AL/d111/m-t0627-00010-00763_occ_row_27.jpg	farm labour
imgs/1940/AL/d111/m-t0627-00092-00338_occ_row_10.jpg	repairman
imgs/1940/AL/d111/m-t0627-00093-00451_occ_row_33.jpg	salesgirl
imgs/1940/AL/d111/m-t0627-00094-00263_occ_row_31.jpg	schoolteacher
imgs/1940/AL/d112/m-t0627-00073-00667_occ_row_29.jpg	farm labour
imgs/1940/AL/d113/m-t0627-00012-00025_occ_row_21.jpg	receptionist
imgs/1940/AL/d113/m-t0627-00085-00399_occ_row_37.jpg	upholsterer
imgs/1940/AL/d113/m-t0627-00097-00102_occ_row_30.jpg	hair dresser
imgs/1940/AL/d114/m-t0627-00078-00758_occ_row_21.jpg	labor
imgs/1940/AL/d114/m-t0627-00078-00758_occ_row_27.jpg	labor
imgs/1940/AL/d114/m-t0627-00083-00921_occ_row_23.jpg	laborer
imgs/1940/AL/d115/m-t0627-00002-00111_occ_row_15.jpg	laborer
imgs/1940/AL/d115/m-t0627-00006-00338_occ_row_16.jpg	laborer
imgs/1940/AL/d115/m-t0627-00010-00241_occ_row_1.jpg	labor
imgs/1940/AL/d115/m-t0627-00098-00015_occ_row_18.jpg	cabinetmaker
imgs/1940/AL/d116/m-t0627-00015-00257_occ_row_18.jpg	labore
imgs/1940/AL/d116/m-t0627-00015-00257_occ_row_34.jpg	labore
